customer_id,transaction_amount,transaction_date
ACC364,7,2017-01-04 13:38:51
ACC149,55,2017-01-19 05:32:07
ACC361,80,2017-04-21 12:42:38
ACC340,80,2017-01-03 13:47:15
ACC210,90,2017-05-19 21:12:37
ACC123,38,2017-03-12 19:09:36
ACC413,18,2017-04-12 06:09:54
ACC324,96,2017-03-13 13:42:43
ACC254,54,2017-02-24 08:27:20
ACC480,87,2017-05-19 14:18:41
ACC378,14,2017-05-12 04:30:44
ACC132,14,2017-01-16 07:55:04
ACC471,50,2017-05-29 07:03:59
ACC338,20,2017-03-17 15:48:18
ACC449,11,2017-03-29 01:57:40
ACC384,59,2017-05-28 10:32:21
ACC462,58,2017-01-12 07:55:32
ACC275,98,2017-03-06 14:23:35
ACC191,32,2017-05-12 22:31:03
ACC123,4,2017-01-05 00:05:46
ACC327,54,2017-03-25 18:22:33
ACC235,69,2017-01-19 18:49:45
ACC107,38,2017-01-11 14:47:31
ACC246,21,2017-05-27 09:59:41
ACC408,53,2017-03-10 04:12:59
ACC118,33,2017-04-28 23:21:46
ACC361,57,2017-05-07 07:44:50
ACC374,18,2017-02-18 00:13:20
ACC150,29,2017-02-14 05:47:28
ACC143,63,2017-03-21 02:21:18
ACC333,26,2017-05-13 16:05:19
ACC371,60,2017-03-20 04:11:21
ACC304,93,2017-01-01 23:13:01
ACC274,66,2017-03-06 02:59:50
ACC277,60,2017-03-22 22:03:39
ACC441,66,2017-04-06 18:17:56
ACC495,24,2017-02-24 18:49:18
ACC206,73,2017-04-05 20:13:22
ACC231,94,2017-02-05 22:18:17
ACC250,2,2017-05-16 02:43:05
ACC203,51,2017-03-02 02:27:24
ACC481,43,2017-03-19 13:58:05
ACC354,37,2017-03-13 08:27:50
ACC104,80,2017-05-05 07:14:59
ACC239,84,2017-01-10 06:53:31
ACC481,75,2017-04-14 16:46:56
ACC129,6,2017-05-08 09:34:10
ACC447,8,2017-04-09 03:38:10
ACC351,3,2017-05-20 12:59:04
ACC440,68,2017-05-22 14:03:23
ACC250,37,2017-04-08 05:09:34
ACC218,69,2017-03-10 21:10:26
ACC370,19,2017-03-10 20:36:40
ACC387,44,2017-01-03 13:54:58
ACC133,84,2017-03-28 18:32:42
ACC276,3,2017-04-25 20:17:35
ACC469,87,2017-05-12 10:18:23
